word,count,Predicted sentiment,Probability
(,2,Negative,0.51
),2,Negative,0.51
help,2,Negative,0.61
task,2,Negative,0.5
growth,2,Negative,0.51
data,2,Negative,0.75
behind,2,Negative,0.58
other,2,Negative,0.51
such,2,Negative,0.51
one,2,Negative,0.52
cooperation,2,Negative,0.51
consequences,2,Negative,0.51
part,2,Positive,0.59
material,2,Positive,0.75
topic,2,Negative,0.51
keeping,2,Negative,0.51
meeting,1,Positive,0.55
yet,1,Negative,0.79
qualify,1,Negative,0.51
unable,1,Negative,0.83
own,1,Negative,0.51
room,1,Negative,0.68
implement,1,Negative,0.51
interventions,1,Negative,0.51
discussed,1,Negative,0.51
team,1,Positive,0.63
figuring,1,Negative,0.51
ell,1,Negative,0.51
regular,1,Positive,0.58
e.d,1,Negative,0.51
everyone,1,Positive,0.73
understands,1,Negative,0.51
much,1,Negative,0.63
you,1,Negative,0.51
get,1,Negative,0.56
felt,1,Negative,0.5
general,1,Positive,0.7
tipping,1,Negative,0.51
desks,1,Negative,0.51
over,1,Negative,0.51
onto,1,Negative,0.5
biting,1,Negative,0.51
themselves,1,Negative,0.51
worked,1,Negative,0.51
guidance,1,Negative,0.51
councilors,1,Negative,0.51
teams,1,Negative,0.51
principals,1,Negative,0.51
always,1,Positive,0.52
mean,1,Negative,0.67
improve,1,Positive,0.75
preventative,1,Negative,0.51
and/or,1,Negative,0.51
deescalating,1,Negative,0.51
order,1,Positive,0.59
difficulties,1,Negative,0.51
took,1,Positive,0.83
away,1,Negative,0.7
rest,1,Negative,0.56
focus,1,Negative,0.51
small,1,Negative,0.61
groups,1,Negative,0.51
daily,1,Positive,0.62
deal,1,Negative,0.58
working,1,Positive,0.62
seem,1,Positive,0.54
care,1,Negative,0.5
children,1,Negative,0.5
;,1,Negative,0.51
unfortunately,1,Negative,0.91
previous,1,Negative,0.83
written,1,Negative,0.51
updated,1,Negative,0.5
use,1,Negative,0.5
things,1,Negative,0.83
cause,1,Positive,0.52
experience,1,Positive,0.87
possible,1,Negative,0.5
range,1,Negative,0.5
educational,1,Negative,0.51
normal,1,Positive,0.62
7th,1,Negative,0.51
confusion,1,Negative,0.51
district,1,Positive,0.75
individual,1,Positive,0.83
major,1,Negative,0.5
try,1,Negative,0.54
derail,1,Negative,0.51
coworkers,1,Negative,0.51
high,1,Positive,0.54
tried,1,Negative,0.92
ways,1,Negative,0.51
engaged,1,Negative,0.51
hoped,1,Negative,0.51
building,1,Negative,0.5
confidence,1,Negative,0.5
find,1,Negative,0.58
anything,1,Positive,0.53
motivate,1,Negative,0.75
hold,1,Negative,0.55
accountable,1,Negative,0.51
uninterested,1,Negative,0.51
administration,1,Negative,0.51
ieps,1,Negative,0.51
disrespect,1,Negative,0.51
communication,1,Negative,0.51
along,1,Positive,0.69
effective,1,Positive,0.75
beginning,1,Negative,0.5
virtual,1,Positive,0.75
online,1,Negative,0.79
affects,1,Negative,0.51
defiance,1,Negative,0.51
between,1,Negative,0.51
managing,1,Negative,0.51
throughout,1,Negative,0.51
day,1,Positive,0.62
personal,1,Negative,0.63
motivating,1,Negative,0.51
continue,1,Positive,0.7
second,1,Positive,0.71
semester,1,Negative,0.75
christmas,1,Negative,0.5
break,1,Negative,0.67
motivation,1,Negative,0.75
dropped,1,Negative,0.51
dramatically,1,Negative,0.51
misbehaving,1,Negative,0.51
point,1,Positive,0.53
can,1,Negative,0.51
anymore,1,Negative,0.85
academic,1,Positive,0.75
enough,1,Negative,0.5
art,1,Negative,0.5
kids,1,Negative,0.51
plans,1,Negative,0.51
together,1,Negative,0.58
remembering,1,Negative,0.51
finding,1,Negative,0.5
tangible,1,Negative,0.51
limitations,1,Negative,0.51
provided,1,Negative,0.51
provide,1,Negative,0.5
myself,1,Negative,0.51
accommodations,1,Negative,0.51
gaps,1,Negative,0.51
challenging,1,Negative,0.51
studentbehavior,1,Negative,0.51
positive,1,Positive,0.69
way,1,Positive,0.54
striving,1,Negative,0.51
addressing,1,Negative,0.75
spread,1,Positive,0.87
precautions,1,Negative,0.51
distancing,1,Negative,0.51
masks,1,Negative,0.51
google,1,Positive,0.64
meets,1,Negative,0.51
inconsistently,1,Negative,0.51
skill,1,Positive,0.75
through,1,Negative,0.51
maneuvering,1,Negative,0.51
around,1,Negative,0.56
challenges,1,Negative,0.51
face,1,Negative,0.58
family,1,Positive,0.68
otherwise,1,Negative,0.5
reaching,1,Negative,0.51
bring,1,Positive,0.76
still,1,Negative,0.74
allow,1,Negative,0.56
excel,1,Negative,0.51
staying,1,Negative,0.51
charge,1,Negative,0.58
letting,1,Negative,0.51
stray,1,Negative,0.51
off,1,Negative,0.51
need,1,Negative,0.61
struggle,1,Negative,0.83
trauma,1,Negative,0.51
cater,1,Negative,0.51
learners,1,Negative,0.51
bored,1,Negative,0.9
larger,1,Negative,0.51
classes,1,Negative,0.51
really,1,Negative,0.62
heavy,1,Negative,0.83
caseload,1,Negative,0.51
sped,1,Negative,0.51
extra,1,Positive,0.58
load,1,Negative,0.93
lots,1,Positive,0.83
below,1,Negative,0.51
administrators,1,Negative,0.51
wish,1,Negative,0.75
've,1,Negative,0.51
met,1,Negative,0.75
also,1,Positive,0.63
control,1,Negative,0.5
teachers,1,Negative,0.51
every,1,Positive,0.58
serve,1,Negative,0.5
short,1,Negative,0.5
amount,1,Negative,0.5
among,1,Positive,0.83
group,1,Positive,0.77
require,1,Negative,0.51
levels,1,Negative,0.51
come,1,Negative,0.56
pasts,1,Negative,0.51
procedures,1,Negative,0.51
place,1,Positive,0.64
steps,1,Negative,0.51
put,1,Positive,0.57
particular,1,Negative,0.5
..,1,Positive,0.54
displating,1,Negative,0.51
active,1,Positive,0.64
participation,1,Negative,0.51
specifically,1,Negative,0.51
right,1,Negative,0.5
stands,1,Negative,0.51
books,1,Negative,0.75
music,1,Negative,0.5
just,1,Negative,0.51
diverse,1,Negative,0.51
made,1,Positive,0.83
times,1,Negative,0.83
deeper,1,Negative,0.51
content,1,Negative,0.5
politics,1,Negative,0.75
outside,1,Negative,0.68
factors,1,Negative,0.51
cut,1,Negative,0.71
into,1,Negative,0.51
especially,1,Positive,0.56
feel,1,Negative,0.79
confident,1,Negative,0.51
disciplinary,1,Negative,0.51
no,1,Negative,0.51
bad,1,Negative,0.8
behaviour,1,Negative,0.51
money,1,Negative,0.72
down,1,Negative,0.51
melt,1,Negative,0.5
downs,1,Negative,0.51
motivated,1,Negative,0.51
